Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Manganese
Anchovy,Seafood,0.147,131.0,0.0,0.06,0.0002099999999999,4.8,0.0,9e-06,0.0033,0.041,1.2,0.0,0.174,1.6,0.383,20.0,1.3,3.7e-05,0.104,50.0,1.5e-05,6e-05,6.2e-07,0.00026,0.014,0.00065,0.00014,0.0,0.0017,7.000000000000001e-05
Carp,Seafood,0.052,162.0,0.0,0.084,7.000000000000001e-05,7.2,0.0,1.7e-05,0.0016,0.038,3.0,0.0,0.531,1.8,0.427,23.0,1.4,1.6e-05,0.063,32.0,1e-05,0.00014,1.5e-06,7.000000000000001e-05,0.0021,0.00087,0.00022,0.0016,0.0019,5e-05
Caviar,Seafood,0.275,264.0,4.0,0.588,0.00011,18.0,0.0,5e-05,0.012,0.3,4.6,4.0,0.356,7.4,0.181,25.0,4.1,6.6e-05,1.5,905.0,0.000271,0.00019,2e-05,0.00062,0.0001199999999999,0.0035,0.00032,0.0,0.00095,5e-05
Cod,Seafood,0.014,105.0,0.0,0.055,4e-05,0.86,0.0,8e-06,0.00049,0.042,0.12,0.0,0.138,0.29,0.244,23.0,0.17,3.8e-05,0.078,47.0,1.4e-05,8.999999999999999e-05,1.1e-06,8e-05,0.0025,0.0001799999999999,0.00028,0.001,0.00058,2e-05
Croaker,Seafood,0.032,221.0,7.5,0.084,7.000000000000001e-05,13.0,0.4,3.4e-05,0.00086,0.042,5.3,7.1,0.217,2.9,0.34,18.0,3.5,3.9e-05,0.348,75.0,2.3e-05,8.999999999999999e-05,2.1e-06,0.00013,0.0043,0.00074,0.00026,0.0,0.00052,8e-05
Eel,Seafood,0.026,236.0,0.0,0.161,3e-05,15.0,0.0,1.7e-05,0.00064,0.026,9.2,0.0,0.277,1.2,0.349,24.0,3.0,8.3e-06,0.065,3787.0,0.001137,0.0001799999999999,2.9e-06,5e-05,0.0045,0.00028,8e-05,0.0018,0.0021,4e-05
Fish sticks,Seafood,0.016,277.0,22.0,0.028,6e-05,16.0,1.5,2.4e-05,0.0008399999999999,0.025,3.2,20.0,0.191,7.8,0.185,11.0,3.7,1.6e-05,0.402,18.0,4e-06,0.0001199999999999,9.6e-07,0.0001199999999999,0.0015,0.00027,8e-05,0.0,0.0004199999999999,0.0001799999999999
Flatfish,Seafood,0.025,86.0,0.0,0.056,2e-05,2.4,0.0,6e-06,0.00023,0.022,0.66,0.0,0.309,0.46,0.197,15.0,0.54,3.3e-05,0.363,37.0,1.2e-05,3e-05,1.3e-06,3e-05,0.0013,0.00023,0.0001199999999999,0.0,0.00039,2e-05
Gefilte fish,Seafood,0.023,84.0,7.4,0.03,0.0002,1.7,0.0,3e-06,0.0025,0.009,0.82,7.4,0.073,0.29,0.091,9.1,0.41,1.1e-05,0.524,89.0,2.7e-05,7.000000000000001e-05,8.4e-07,6e-05,0.001,0.0002,8e-05,0.0008,0.00082,7.000000000000001e-05
Grouper fish,Seafood,0.021,118.0,0.0,0.047,5e-05,1.3,0.0,1e-05,0.0011,0.037,0.27,0.0,0.143,0.4,0.475,25.0,0.3,4.7e-05,0.053,165.0,5e-05,8e-05,6.9e-07,1e-05,0.00038,0.00087,0.00035,0.0,0.00051,1e-05
