Country Name,Country Code,"Population, total",Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Life expectancy at birth, total (years)",GDP (current US$),Tax revenue (% of GDP),Expense (% of GDP),"Central government debt, total (% of GDP)","Inflation, consumer prices (annual %)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Access to electricity (% of population),Fixed broadband subscriptions (per 100 people),"Hospital beds (per 1,000 people)"
China,CHN,1411100000,69.38,12.6,78.08,1.47E+13,8.09,,,2.42,99.02,,62.24,100,33.91,5
Colombia,COL,50930662,69.61,8.47,74.77,2.7E+11,14.04,26.43,90.75,2.53,107.08,101.5,55.73,99.7,15.34,1.69
Comoros,COM,806166,57.2,4.33,64.17,1225039197,,,,,,,,85.6,0.15,
"Congo, Dem. Rep.",COD,92853164,50.51,3,59.74,48716961860,6.43,9.08,,,118.2,,6.67,20.1,0.03,
"Congo, Rep.",COG,5702174,55.68,2.65,63.79,11468688141,8.32,17.8,,1.8,,,,48.7,,
Costa Rica,CRI,5123105,68.88,10.22,79.28,62395610760,12.28,23.48,,0.72,109.8,135.9,,99.9,19.72,1.15
Cote d'Ivoire,CIV,26811790,55.48,2.41,59.03,63027852805,11.79,16.03,,2.43,94.16,54.65,9.78,69.9,0.9,
Croatia,HRV,4047680,64.24,21.57,77.72,58221300898,20.78,34.51,98,0.15,99.49,105.59,74.74,100,26.07,5.6
Cuba,CUB,11300698,68.59,15.55,77.57,1.07E+11,,,,,101.09,102.04,45.93,99.9,2.07,4.19
Curacao,CUW,154947,68.04,14.25,,2534327598,,,,,113.35,129.47,14.88,100,31.59,
Cyprus,CYP,1237537,69.84,14.15,81.39,25227189745,22.23,33.24,175.15,-0.64,100.74,101.43,92.94,100,37.06,
Czechia,CZE,10697858,63.87,20.16,78.18,2.46E+11,14.37,33.61,45.62,3.16,99.78,99.33,67.18,100,36.45,6.6
Denmark,DNK,5831404,63.68,20.05,81.6,3.55E+11,34.53,39.51,48.4,0.42,100.46,130,82.66,100,44.42,2.59
Djibouti,DJI,1090156,64.35,4.46,62.69,3185150981,,,,1.78,,,,64.5,2.27,
Dominica,DMA,71995,70.7,9.17,73.65,504214814.8,,,,-0.73,91.71,87.24,,100,27.06,3
