Fixed broadband subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)","Agriculture, forestry, and fishing, value added (% of GDP)","Birth rate, crude (per 1,000 people)",Population ages 65 and above (% of total population),"Death rate, crude (per 1,000 people)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),Fixed telephone subscriptions (per 100 people),Arable land (% of land area),Gross savings (% of GDP),Rural population,Urban population (% of total population),Net ODA received (% of GNI),"Population, female (% of total population)","Government expenditure on education, total (% of GDP)",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Fuel exports (% of merchandise exports),"GNI, PPP (current international $)",Rural population (% of total population),"GNI per capita, PPP (current international $)"
0.39,48.7,16.2,23.72,4.13,6.91,57.46,9.79,16.0,6.24,21.84,4592873.0,34.37,2.97,49.57,2.5,4.9,3.5300000000000002,47477587535.0,65.63,6780.0
27.09,4.4,3.55,10.7,20.5,7.445,55.98,31.06,17.6,20.73,23.26,620063.0,68.08,2.8,50.335,4.37,3.31,5.24,55551560668.0,31.93,28600.0
10.905000000000001,13.4,2.79,16.9,8.09,4.5,52.4,65.82,14.7,13.41,21.84,706902.0,88.43,2.47,50.83,2.14,3.5,1.52,129000000000.0,11.57,21060.0
0.22,76.0,4.96,27.72,4.15,13.65,63.84,79.64,0.49,13.64,7.41,1568705.0,27.73,5.56,50.71,4.26,8.42,0.08,6416294206.0,72.27,2960.0
0.19,15.9,6.59,33.15,3.42,8.95,84.29,19.48,13.2,5.19,21.84,2364883.0,50.7,2.8,50.31,2.25,4.03,3.5300000000000002,7352018132.0,49.3,1530.0
4.72,12.3,3.87,19.9,4.76,5.28,55.39,8.72,23.4,0.98,21.4,1287324.0,79.82,0.63,49.29,4.26,6.66,3.5300000000000002,124000000000.0,20.18,19410.0
42.94,15.9,0.13,8.9,17.15,6.6,46.92,32.38,40.5,10.94,21.84,32465.0,14.32,2.8,50.34,4.26,4.03,3.5300000000000002,70734620622.5,85.69,14380.0
28.23,4.3,3.51,10.1,19.73,7.445,52.69,46.86,17.2,33.58,19.74,918778.0,67.52,2.8,50.335,3.81,3.3,14.52,92039736266.0,32.48,32540.0
35.98,2.7,0.23,10.4,14.28,7.1,43.81,50.95,46.2,24.1,21.68,55298.0,90.73,2.8,49.76,3.49,2.29,0.09,49076634721.0,9.27,14380.0
28.77,15.9,6.59,10.88,9.93,3.86,30.2,38.6,21.3,10.29,21.84,0.0,100.0,2.8,52.74,2.71,0.59,0.0,69810503217.0,0.0,14380.0
0.09,65.7,24.55,32.48,3.02,6.79,77.58,70.29,0.26,5.16,14.65,16611902.0,36.52,6.11,49.85,2.7,7.98,1.83,40129275462.0,63.48,1530.0
0.06,50.4,22.93,34.34,3.05,7.15,93.46,61.7,0.1,39.96,21.84,14892509.0,16.71,2.8,51.44,3.58,3.18,0.19,24472507624.0,83.29,1370.0
8.31,8.2,8.6,16.36,6.29,5.13,44.15,26.09,20.3,2.51,28.34,7851020.0,75.45,-0.01,48.74,4.18,4.28,15.4,70734620622.5,24.55,25980.0
7.97,8.3,5.27,16.13,4.19,2.78,36.03,21.33,4.45,13.0,21.84,286394.0,39.38,1.05,50.335,3.82,2.42,0.0,8352918251.0,60.62,17680.0
0.08,15.9,6.59,43.38,2.59,9.64,54.035,34.73,1.08,6.22,14.37,11283238.0,41.57,2.8,49.49,3.79,6.06,0.02,41932518583.0,58.43,2170.0
38.75,6.4,0.67,9.2,18.76,7.6,47.62,32.44,51.4,28.34,28.83,25525.0,94.55,2.8,48.97,4.56,1.37,3.5300000000000002,18317699965.0,5.45,39140.0
2.15,33.7,15.89,22.27,3.03,7.1,64.56,38.89,13.2,2.78,9.48,11026.0,76.63,2.8,48.83,4.26,4.03,3.5300000000000002,267906462.5,23.37,5680.0
0.3,46.1,22.72,34.43,3.41,7.45,87.7,38.53,1.36,0.44,30.37,1962529.0,52.82,4.35,51.12,4.26,3.22,3.5300000000000002,22219271702.0,47.18,5340.0
19.06,15.0,2.99,10.7,10.32,8.0,40.47,43.06,32.0,37.56,14.02,748295.0,40.84,0.1,50.53,4.88,2.19,1.56,29286351032.0,59.16,23150.0
13.78,15.2,3.3,16.95,7.42,6.62,51.72,49.87,16.8,10.42,20.62,24731228.0,79.87,0.07,51.05,4.4,2.98,5.51,70734620622.5,20.13,20060.0
3.45,28.6,27.63,21.45,4.63,5.27,58.6,7.14,6.35,2.86,21.84,85464.0,22.61,2.8,49.62,4.26,6.29,3.5300000000000002,431427363.5,77.39,3910.0
18.3,15.1,12.2,13.81,12.23,13.09,45.29,70.46,35.8,10.29,16.24,1582663.0,42.56,2.42,52.44,5.71,5.1,0.06,32812846495.0,57.44,11910.0
51.11,3.3,6.59,16.200000000000003,7.289999999999999,7.445,89.98,38.6,13.2,10.29,21.84,0.0,100.0,2.8,50.98,1.46,4.03,3.5300000000000002,70734620622.5,0.0,14380.0
9.18,17.5,11.14,24.22,3.93,5.99,52.4,72.86,9.43,0.85,17.36,979491.0,68.36,7.76,50.3,4.32,5.97,3.5300000000000002,30044557486.0,31.64,9700.0
22.16,3.6,6.85,11.9,14.78,10.5,49.5,19.06,24.5,0.68,14.16,208638.0,66.48,2.38,51.23,4.26,3.47,12.38,12500129751.0,33.52,20080.0
3.89,21.2,11.16,19.3,6.33,5.64,51.45,69.56,5.77,18.86,28.59,13533370.0,61.91,2.08,49.67,4.74,3.0,0.92,287000000000.0,38.09,7970.0
0.22,77.0,26.07,38.13,2.57,8.69,88.78,52.43,0.29,7.18,10.49,18440146.0,35.46,2.8,50.99,5.49,4.03,3.5300000000000002,35096315870.0,64.55,1230.0
0.21,47.7,23.4,18.13,5.89,8.81,46.78,20.0,1.07,16.95,21.84,1792520.0,30.32,2.41,50.15,2.17,4.14,3.5300000000000002,236000000000.0,69.68,4520.0
2.62,44.0,7.68,29.5,3.84,8.47,66.89,47.14,7.7,0.97,13.12,1205794.0,49.01,1.5,51.69,4.26,3.42,0.44,24338464104.0,51.0,10290.0
10.905000000000001,31.2,6.59,30.38,1.82,6.65,68.7,20.0,13.2,10.29,21.84,0.0,100.0,2.8,49.04,6.81,8.57,3.5300000000000002,152690833.1,0.0,13070.0
