"Population, total",Population growth (annual %),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),Urban population (% of total population),Net migration,"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)","Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
7413100.0,-0.91,12.17,19.6,100.0,0.0,6.9,85.53,0.4,15.4,106.03,100.2,55.27,5.17
9709891.0,-0.41,14.55,20.42,72.25,19870.0,8.129999999999999,74.16,0.4,4.0,101.46,99.7,56.53,4.05
372520.0,1.64,18.63,14.93,93.94,622.0,6.3,83.17,0.1,2.7,98.57,115.16,55.27,6.03
6719538.0,0.8,25.69,6.8,35.39,-563.5,9.45,67.24,0.2,30.6,102.32,80.62,31.57,6.38
6719538.0,0.69,25.48,6.78,57.29,-14992.0,10.07,67.57,0.4,22.0,101.99,99.1,41.0,3.83
6719538.0,0.72,23.81,7.38,76.35,-563.5,6.44,73.88,0.1,12.4,99.91,95.23,55.8,9.28
43533592.0,2.27,38.12,3.41,71.12,-563.5,4.75,70.38,0.1,24.3,99.91,95.23,55.27,16.17
5033164.0,0.95,19.91,14.83,63.91,15320.0,6.8,82.35,0.2,3.2,99.98,95.23,78.78,6.19
84263.0,0.26,14.9,22.04,53.08,517.0,10.6,80.53,0.4,15.4,99.91,95.23,55.27,6.035
9371400.0,1.68,28.17,11.93,92.67,16856.0,5.4,82.5,0.4,3.4,96.25,96.93,58.99,4.81
59133173.0,-0.52,12.65,23.68,71.35,-563.5,11.9,82.65,0.2,2.8,101.09,101.83,71.27,9.5
2827695.0,0.26,20.3,7.24,56.65,-5664.0,8.8,70.5,0.4,18.9,90.64,87.28,55.27,5.19
6719538.0,-0.46,11.77,29.79,91.87,-563.5,11.7,84.45,0.4,2.3,102.22,102.16,63.17,2.83
11148278.0,1.99,32.61,3.72,91.63,14374.0,3.87,74.26,0.1,14.6,98.0,90.06,30.45,6.035
19191356.0,2.3,29.53,7.95,57.82,-18917.0,9.61,70.23,0.4,10.0,100.47,95.73,61.23,5.56
53005614.0,1.94,38.4,2.84,28.49,-563.5,8.06,61.43,0.4,41.9,99.91,95.23,55.27,5.69
128874.0,1.89,36.17,3.74,56.34,-296.0,6.24,67.42,0.4,57.7,100.46,86.41,55.27,6.035
25971909.0,0.4,18.95,11.36,62.64,-1589.0,9.31,73.28,0.4,15.8,99.91,95.23,55.27,3.13
51769539.0,-0.13,11.89,16.65,81.41,-563.5,6.2,83.53,0.4,2.9,98.68,98.1,55.27,3.64
1786038.0,-0.23,22.0,9.91,63.095,-15050.0,7.22,76.81,0.4,10.0,99.91,95.23,55.27,6.035
4250114.0,0.86,21.12,4.46,100.0,-563.5,2.91,78.67,0.1,8.7,99.91,95.23,61.56,3.0
6773400.0,2.9,34.46,4.39,37.15,-16510.0,5.8,71.9,0.2,17.5,95.4,94.77,52.53,4.1
7425057.0,1.43,31.02,4.36,36.94,-10303.0,6.61,68.06,0.4,41.8,100.34,95.23,55.27,2.0
1884490.0,-0.84,15.63,21.61,68.42,-6815.0,8.129999999999999,72.98,0.7,3.5,99.74,105.81,55.27,7.51
5592631.0,-1.25,27.62,9.62,89.09,-563.5,8.27,75.05,0.1,16.4,99.91,95.23,58.44,12.62
2281454.0,1.21,34.1,4.21,29.48,-1490.0,14.19,53.06,0.4,15.4,90.07,95.23,55.27,6.035
5193416.0,2.06,41.01,3.34,52.57,-11862.0,8.84,60.75,1.0,15.4,99.91,95.23,55.27,3.79
6735277.0,1.21,28.86,4.82,80.99,-696.0,6.02,71.91,0.2,10.7,99.91,95.23,55.27,6.035
39039.0,0.73,14.55,18.86,14.47,231.0,6.9,84.4,0.4,15.4,102.11,118.73,46.02,6.035
2800839.0,0.21,15.18,20.59,68.25,-11853.0,8.129999999999999,74.04,0.2,3.5,101.15,108.51,70.66,7.11
640064.0,1.52,15.91,14.75,91.67,6949.0,7.0,82.6,0.2,2.7,98.48,106.48,55.27,5.25
686607.0,1.52,14.61,12.32,100.0,4004.0,4.11,85.4,0.4,15.4,89.07,88.55,55.27,2.25
28915653.0,2.42,39.4,3.3,39.21,-742.0,7.1,64.49,0.4,66.3,99.91,95.23,55.27,3.42
19889742.0,2.61,43.16,2.7,17.7,-1775.0,6.98,62.9,0.4,41.4,99.91,95.23,55.27,5.59
33573874.0,1.12,22.96,7.25,77.7,-563.5,6.03,74.88,0.3,7.9,101.17,80.27,40.91,4.64
521457.0,1.36,21.72,4.54,41.1,1189.0,3.02,79.92,0.1,6.0,99.91,95.23,55.27,5.02
21904983.0,3.16,47.39,2.44,44.68,-22236.0,9.27,58.94,0.9,15.4,99.91,95.23,55.27,2.29
518536.0,0.62,13.13,18.87,94.81,10408.0,8.0,82.51,0.2,5.8,95.41,103.09,73.02,3.4
42050.0,0.86,33.18,4.27,78.16,-1901.0,7.56,65.27,0.4,29.6,103.81,117.98,55.27,6.035
4614974.0,2.55,42.01,3.26,56.13,-1494.0,7.44,64.36,0.3,40.5,99.91,95.23,55.27,11.07
1266334.0,0.03,16.64,12.29,40.78,-478.0,10.5,73.68,0.4,15.5,99.89,95.23,43.96,7.72
6719538.0,0.56,24.95,8.13,81.02,-563.5,9.41,70.21,0.4,13.3,103.36,98.32,45.65,4.02
113131.0,0.91,30.7,5.88,23.07,-635.0,6.21,70.71,0.4,25.0,90.93,95.23,55.27,6.035
2595809.0,-1.5,19.81,13.61,43.0,-14278.0,8.129999999999999,68.85,0.9,14.3,106.78,96.59,61.3,0.79
36686.0,-0.64,12.81,7.855,100.0,206.0,8.129999999999999,72.54,0.4,2.9,99.91,95.23,55.27,6.035
3347782.0,1.61,32.43,4.42,68.79,0.0,6.13,70.98,0.1,14.0,94.99,99.8,64.46,7.75
619211.0,-0.34,18.18,16.26,67.83,-101.0,14.8,73.82,0.1,2.9,104.4,93.16,57.96,16.54
37076584.0,1.05,26.85,7.42,64.07,-563.5,6.17,74.04,0.1,17.9,99.91,82.18,42.82,10.54
32077072.0,2.84,43.68,2.59,37.63,-9515.0,8.79,59.33,0.4,68.1,99.91,95.23,55.27,3.98
53798084.0,0.7,24.88,6.63,31.45,-563.5,9.77,65.67,0.9,41.5,99.91,95.23,55.27,4.34
2530151.0,1.64,36.21,4.03,53.01,-4301.0,10.71,59.27,0.4,38.9,99.91,95.23,55.27,6.035
12511.0,1.58,38.84,2.29,100.0,-66.0,6.63,63.62,0.4,27.3,99.91,95.23,55.27,6.035
30034989.0,2.31,29.39,6.05,21.01,-563.5,7.78,68.45,0.1,28.5,99.91,83.52,55.27,12.32
17533044.0,0.52,15.5,19.95,92.57,-563.5,9.8,81.31,0.2,4.0,104.38,95.23,55.27,4.21
270390.0,-0.25,22.48,10.69,71.93,-1182.0,7.3,79.13,0.4,15.4,99.91,95.23,55.27,12.54
5111300.0,0.41,18.89,15.93,86.79,-563.5,6.83,82.21,0.1,4.7,97.92,117.6,55.27,3.78
6850540.0,1.39,30.08,5.16,59.28,-10384.0,4.86,73.84,0.3,15.7,106.95,95.23,55.27,6.06
25252722.0,3.71,48.9,2.42,16.75,-4405.0,8.14,61.58,0.2,15.4,99.91,95.23,55.27,0.82
6719538.0,2.41,43.29,2.98,52.75,-563.5,13.08,52.68,0.4,15.4,99.91,95.23,55.27,5.39
1837114.0,-1.03,16.07,14.77,58.79,-486.0,8.129999999999999,73.25,0.1,5.2,93.26,84.16,44.3,15.8
49481.0,-0.21,21.7,9.79,91.89,-431.0,8.129999999999999,72.54,0.4,15.4,99.91,95.23,55.27,6.035
5408320.0,0.53,16.97,18.1,83.32,10604.0,7.8,83.16,0.4,2.2,98.97,95.23,55.27,4.37
4520471.0,-0.51,26.77,2.79,87.04,-20664.0,3.8,72.54,0.1,10.6,89.2,94.29,43.84,1.9
6719538.0,1.83,36.94,4.22,37.44,-563.5,7.17,66.1,0.2,63.0,99.91,95.23,55.27,6.34
18024.0,0.29,20.96,9.52,81.48,3.0,9.7,72.54,0.4,22.8,104.83,97.35,55.27,6.035
4351267.0,1.32,26.41,8.57,68.78,5473.0,6.07,76.22,1.0,14.1,100.74,82.87,53.04,10.45
9949437.0,2.03,34.58,3.1,13.46,10695.0,6.68,65.35,1.0,42.9,99.91,95.23,55.27,2.91
6703799.0,1.28,29.02,6.23,62.5,-8230.0,7.64,70.26,0.5,18.1,92.55,84.29,55.27,7.31
33715471.0,1.23,26.33,8.32,78.5,-563.5,7.99,72.38,0.4,15.4,107.12,98.16,55.27,5.1
6719538.0,1.49,30.64,5.33,47.68,-563.5,7.31,69.27,0.2,27.9,90.61,87.13,34.85,3.4
37747124.0,-0.4,15.37,18.84,60.08,-2968.0,13.8,75.5,0.1,4.4,96.6,110.53,72.21,3.36
10361831.0,0.63,13.34,22.56,66.85,-563.5,12.0,81.38,0.5,3.2,104.93,118.32,71.87,6.58
3262693.0,-0.58,13.65,22.36,93.59,-7408.0,10.2,80.16,0.4,15.4,99.91,95.23,55.27,7.9
2688235.0,0.86,15.77,1.4,99.28,-563.5,8.129999999999999,79.27,0.1,5.5,90.51,97.33,31.28,0.14
